DIFF  core/regexp/case_compare_spec.rb	FAILED: returns true if it matches a Symbol: expected true, got false
DIFF  core/regexp/casefold_spec.rb	ERROR: Regexp#casefold? returns the value of the case-insensitive flag: NoMethodError
DIFF  core/regexp/encoding_spec.rb	FAILED: returns BINARY if the 'n' modifier is supplied and non-US-ASCII characters are present: expected #<Encoding:BINARY (ASCII-8BIT)>, got #<Encoding:US-ASCII>
DIFF  core/regexp/equal_value_spec.rb	FAILED: is true if self does not specify /n option and other does: expected true, got false
DIFF  core/regexp/escape_spec.rb	ERROR: Regexp.escape is an alias of Regexp.quote: NameError
DIFF  core/regexp/fixed_encoding_spec.rb	ERROR: Regexp#fixed_encoding? returns false by default: NoMethodError
DIFF  core/regexp/hash_spec.rb	FAILED: is based on the text and options of Regexp: expected false, got true
DIFF  core/regexp/initialize_spec.rb	FAILED: raised NoMethodError, expected FrozenError
DIFF  core/regexp/inspect_spec.rb	FAILED: returns options in the order 'mixn': expected "//mixn", got "//mix"
DIFF  core/regexp/last_match_spec.rb	FAILED: expected IndexError to be raised
DIFF  core/regexp/linear_time_spec.rb	ERROR: Regexp.linear_time? returns true if matching can be done in linear time: NoMethodError
DIFF  core/regexp/match_spec.rb	FAILED: raised NoMethodError, expected TypeError
DIFF  core/regexp/options_spec.rb	FAILED: raised NoMethodError, expected TypeError
DIFF  core/regexp/quote_spec.rb	FAILED: sets the encoding of the result to US-ASCII if there are only US-ASCII characters present in the input String: expected #<Encoding:US-ASCII>, got #<Encoding:UTF-8>
DIFF  core/regexp/source_spec.rb	FAILED: has US-ASCII encoding when created from an ASCII-only \u{} literal: expected to be identical
DIFF  core/regexp/timeout_spec.rb	ERROR: Regexp.timeout returns global timeout: NoMethodError
DIFF  core/regexp/to_s_spec.rb	FAILED: displays single group with same options as main regex as the main regex: expected "(?i-mx:nothing outside this group)", got "(?-mix:(?i:nothing outside this group))"
DIFF  core/regexp/try_convert_spec.rb	ERROR: Regexp.try_convert returns the argument if given a Regexp: NoMethodError
DIFF  core/regexp/union_spec.rb	FAILED: returns a Regexp with the encoding of an ASCII-incompatible String argument: expected #<Encoding:UTF-16LE>, got #<Encoding:US-ASCII>
